# Date Fnu_150GHz   Fnu_260GHz
20170220 15.214 39.296
20170221 15.195 39.246
20170222 15.176 39.198
20170223 15.158 39.150
20170224 15.139 39.102
20170225 15.121 39.056
20170226 15.104 39.011
20170227 15.087 38.966
20170228 15.070 38.922
20170414 14.685 37.928
20170415 14.685 37.928
20170416 14.685 37.930
20170417 14.686 37.932
20170418 14.688 37.936
20170419 14.689 37.940
20170420 14.691 37.945
20170421 14.694 37.952
20170422 14.697 37.959
20170423 14.700 37.968
20170424 14.704 37.977
20170425 14.708 37.987
20170426 14.712 37.999
20170607 15.220 39.311
20170608 15.239 39.360
20170609 15.259 39.411
20170610 15.278 39.462
20170611 15.299 39.514
20170612 15.319 39.566
20170613 15.339 39.619
20170614 15.360 39.673
20171024 17.992 46.471
20171025 17.989 46.463
20171026 17.985 46.452
20171027 17.980 46.440
20171028 17.975 46.427
20171029 17.970 46.412
20171030 17.963 46.396
20171031 17.956 46.378
20180112 16.368 42.277
20180113 16.340 42.203
20180114 16.312 42.131
20180115 16.284 42.058
20180116 16.256 41.985
20180117 16.228 41.913
20180118 16.200 41.841
20180119 16.172 41.769
20180120 16.144 41.698
20180121 16.117 41.627
20180212 15.556 40.177
20180213 15.533 40.118
20180214 15.510 40.060
20180215 15.488 40.002
20180216 15.465 39.945
20180217 15.444 39.888
20180218 15.422 39.833
20180219 15.401 39.778
20180220 15.380 39.724
20180221 15.359 39.670
20180302 15.188 39.227
20180303 15.170 39.182
20180304 15.153 39.138
20180305 15.136 39.095
20180306 15.120 39.052
20180307 15.104 39.011
20180308 15.088 38.970
20180309 15.073 38.930
20180310 15.058 38.891
20180311 15.043 38.854
20180312 15.029 38.816
20180313 15.015 38.780
20180314 15.001 38.745
20180315 14.988 38.711
20180316 14.975 38.678
20180317 14.962 38.645
20180318 14.950 38.614
20180319 14.938 38.583
20180320 14.927 38.554
20180321 14.916 38.525
20180521 14.964 38.649
20180522 14.976 38.681
20180523 14.989 38.714
20180524 15.002 38.747
20180525 15.015 38.782
20180526 15.029 38.818
20180527 15.043 38.854
20180528 15.058 38.891
20180529 15.072 38.930
20180530 15.088 38.968
20180611 15.294 39.502
20180612 15.313 39.551
20180613 15.333 39.602
20180614 15.352 39.653
20180615 15.373 39.705
20180616 15.393 39.757
20180617 15.414 39.811
20180618 15.435 39.865
20180619 15.456 39.920
20180620 15.477 39.975
20180904 17.467 45.115
20180905 17.491 45.175
20180906 17.514 45.235
20180907 17.536 45.294
20180917 17.745 45.832
20180918 17.764 45.880
20180919 17.782 45.927
20180920 17.800 45.974
20180921 17.817 46.019
20180922 17.834 46.062
20180923 17.851 46.105
20180924 17.867 46.146
20180925 17.882 46.187
20180926 17.897 46.226
20181001 17.966 46.402
20181002 17.978 46.434
20181003 17.989 46.464
20181004 18.001 46.492
20181005 18.011 46.520
20181006 18.021 46.546
20181007 18.031 46.570
20181008 18.040 46.593
20181009 18.048 46.615
20181010 18.056 46.635
20181029 18.094 46.735
20181030 18.091 46.725
20181031 18.086 46.713
20181101 18.081 46.701
20181102 18.076 46.686
20181103 18.069 46.670
20181104 18.063 46.653
20181105 18.055 46.634
